file,fileDate,time_raw,layer,time_dt,mesh,timeRes,date,timeStep,i,timeCalculated
westcoms2_20211101_0006.nc,20211101,2021-11-01T02:00:00.000000,2,2021-11-01T02:00:00Z,WeStCOMS2,1h,2021-11-01,60,2,2021-11-01T02:00:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:05:00.000000,1,2021-11-01T02:05:00Z,linnhe7,5min,2021-11-01,5,25,2021-11-01T02:05:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:05:00.000000,1,2021-11-01T02:05:00Z,WeStCOMS2,5min,2021-11-01,5,25,2021-11-01T02:05:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:10:00.000000,2,2021-11-01T02:10:00Z,linnhe7,5min,2021-11-01,5,26,2021-11-01T02:10:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:10:00.000000,2,2021-11-01T02:10:00Z,WeStCOMS2,5min,2021-11-01,5,26,2021-11-01T02:10:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:15:00.000000,3,2021-11-01T02:15:00Z,linnhe7,5min,2021-11-01,5,27,2021-11-01T02:15:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:15:00.000000,3,2021-11-01T02:15:00Z,WeStCOMS2,5min,2021-11-01,5,27,2021-11-01T02:15:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:20:00.000000,4,2021-11-01T02:20:00Z,linnhe7,5min,2021-11-01,5,28,2021-11-01T02:20:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:20:00.000000,4,2021-11-01T02:20:00Z,WeStCOMS2,5min,2021-11-01,5,28,2021-11-01T02:20:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:25:00.000000,5,2021-11-01T02:25:00Z,linnhe7,5min,2021-11-01,5,29,2021-11-01T02:25:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:25:00.000000,5,2021-11-01T02:25:00Z,WeStCOMS2,5min,2021-11-01,5,29,2021-11-01T02:25:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:30:00.000000,6,2021-11-01T02:30:00Z,linnhe7,5min,2021-11-01,5,30,2021-11-01T02:30:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:30:00.000000,6,2021-11-01T02:30:00Z,WeStCOMS2,5min,2021-11-01,5,30,2021-11-01T02:30:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:35:00.000000,7,2021-11-01T02:35:00Z,linnhe7,5min,2021-11-01,5,31,2021-11-01T02:35:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:35:00.000000,7,2021-11-01T02:35:00Z,WeStCOMS2,5min,2021-11-01,5,31,2021-11-01T02:35:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:40:00.000000,8,2021-11-01T02:40:00Z,linnhe7,5min,2021-11-01,5,32,2021-11-01T02:40:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:40:00.000000,8,2021-11-01T02:40:00Z,WeStCOMS2,5min,2021-11-01,5,32,2021-11-01T02:40:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:45:00.000000,9,2021-11-01T02:45:00Z,linnhe7,5min,2021-11-01,5,33,2021-11-01T02:45:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:45:00.000000,9,2021-11-01T02:45:00Z,WeStCOMS2,5min,2021-11-01,5,33,2021-11-01T02:45:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:50:00.000000,10,2021-11-01T02:50:00Z,linnhe7,5min,2021-11-01,5,34,2021-11-01T02:50:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:50:00.000000,10,2021-11-01T02:50:00Z,WeStCOMS2,5min,2021-11-01,5,34,2021-11-01T02:50:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T02:55:00.000000,11,2021-11-01T02:55:00Z,linnhe7,5min,2021-11-01,5,35,2021-11-01T02:55:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T02:55:00.000000,11,2021-11-01T02:55:00Z,WeStCOMS2,5min,2021-11-01,5,35,2021-11-01T02:55:00Z
linnhe7_20211101_0001.nc,20211101,1635735552,3,2021-11-01T02:59:12Z,linnhe7,1h,2021-11-01,59.7333333333333,25,2021-11-01T03:00:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:00:00.000000,12,2021-11-01T03:00:00Z,linnhe7,5min,2021-11-01,5,36,2021-11-01T03:00:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:00:00.000000,12,2021-11-01T03:00:00Z,WeStCOMS2,5min,2021-11-01,5,36,2021-11-01T03:00:00Z
westcoms2_20211101_0006.nc,20211101,2021-11-01T03:00:00.000000,3,2021-11-01T03:00:00Z,WeStCOMS2,1h,2021-11-01,60,3,2021-11-01T03:00:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:05:00.000000,13,2021-11-01T03:05:00Z,linnhe7,5min,2021-11-01,5,37,2021-11-01T03:05:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:05:00.000000,13,2021-11-01T03:05:00Z,WeStCOMS2,5min,2021-11-01,5,37,2021-11-01T03:05:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:10:00.000000,14,2021-11-01T03:10:00Z,linnhe7,5min,2021-11-01,5,38,2021-11-01T03:10:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:10:00.000000,14,2021-11-01T03:10:00Z,WeStCOMS2,5min,2021-11-01,5,38,2021-11-01T03:10:00Z
linnhe7_20211102_0002.nc,20211102,2021-11-01T03:15:00.000000,15,2021-11-01T03:15:00Z,linnhe7,5min,2021-11-01,5,39,2021-11-01T03:15:00Z
westcoms2_20211102_0002.nc,20211102,2021-11-01T03:15:00.000000,15,2021-11-01T03:15:00Z,WeStCOMS2,5min,2021-11-01,5,39,2021-11-01T03:15:00Z
