i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"93850",13933.634765625,35.0594787597656,"53126","52608","52609","7"
"93851",15526.55859375,31.1178379058838,"53126","52609","53127","7"
"93852",15525.490234375,28.7195835113525,"52610","53127","52609","7"
"93853",15524.4809570313,26.6188068389893,"53128","53127","52610","7"
"93854",16502.0844726563,26.8290576934814,"53128","52610","52611","7"
"93855",15680.484375,26.1558055877686,"53128","52611","53129","7"
"93856",15680.484375,24.5963287353516,"52612","53129","52611","7"
"93857",15736.0395507813,20.4109058380127,"53130","53129","52612","7"
"93858",13961.8823242188,19.3953895568848,"53130","52612","52613","7"
"93859",14444.7241210938,18.4676113128662,"53130","52613","53131","7"
"93860",14443.44140625,21.1977043151855,"52613","52614","53131","7"
"93861",14442.9555664063,19.3297271728516,"53132","53131","52614","7"
"93862",15433.6606445313,17.9413642883301,"53132","52614","53133","7"
"93863",15435.4497070313,17.8309593200684,"52615","53133","52614","7"
"93864",15436.8046875,12.1200380325317,"53134","53133","52615","7"
"93865",11325.0581054688,9.30633068084717,"53134","52615","52616","7"
"93866",7097.267578125,2.83458948135376,"53135","52617","52618","7"
"93867",13190.638671875,2.75395727157593,"53135","52618","52619","7"
"93868",11405.3125,3.3165910243988,"53135","52619","53136","7"
"93869",11405.3125,2.45632362365723,"52620","53136","52619","7"
"93870",11445.755859375,1.88932764530182,"53137","53136","52620","7"
"93871",15421.154296875,0.759664595127106,"53137","52620","52621","7"
"93872",12237.0947265625,1.54566895961761,"53137","52621","53138","7"
"93873",11780.8515625,2.09810709953308,"53139","53138","52621","7"
"93874",14156.28515625,4.45223188400269,"52622","53139","52621","7"
"93875",18444.3305664063,7.03564500808716,"52622","53140","53139","7"
"93876",13269.3803710938,13.2773771286011,"52622","53141","53140","7"
"93877",16342.5361328125,18.9268283843994,"52622","52623","53141","7"
"93878",16337.998046875,25.3294124603271,"52623","53142","53141","7"
"93879",16757.9150390625,27.8263149261475,"52624","53142","52623","7"
"93880",16885.490234375,27.0913829803467,"52624","52625","53142","7"
"93881",18446.123046875,24.0816192626953,"52625","53143","53142","7"
"93882",18364.1376953125,20.5726509094238,"53144","53143","52625","7"
"93883",22094.6455078125,21.0354175567627,"53144","52625","52626","7"
"93884",22534.7421875,18.73512840271,"53144","52626","52627","7"
"93885",22655.470703125,16.4425811767578,"53144","52627","53145","7"
"93886",21135.7138671875,13.8693742752075,"53146","53145","52627","7"
"93887",28116.4365234375,13.4801578521729,"52628","53146","52627","7"
"93888",23923.1293945313,11.7868623733521,"52628","53147","53146","7"
"93889",21180.6064453125,11.81960105896,"52628","53148","53147","7"
"93890",25885.5322265625,10.9140195846558,"52628","52629","53148","7"
"93891",27276.978515625,8.28269386291504,"53149","53148","52629","7"
"93892",15425.9423828125,15.8219327926636,"53150","52631","52632","7"
"93893",15761.083984375,15.0246572494507,"53150","52632","53151","7"
"93894",10784.724609375,18.8413181304932,"52632","52633","53151","7"
"93895",10868.1923828125,19.7203807830811,"53152","53151","52633","7"
"93896",11729.572265625,26.6771850585938,"53152","52633","52634","7"
"93897",12990.3759765625,27.8876457214355,"53152","52634","52635","7"
"93898",9530.57958984375,23.1046600341797,"53152","52635","53153","7"
"93899",10229.07421875,28.2819118499756,"53154","53153","52635","7"
"93900",10761.205078125,31.201021194458,"52636","53154","52635","7"
"93901",10463.3701171875,31.7643299102783,"52636","53155","53154","7"
"93902",10990.1010742188,29.7910804748535,"52636","53156","53155","7"
"93903",11283.2885742188,28.3387851715088,"52636","52637","53156","7"
"93904",12061.708984375,32.3802490234375,"52638","53156","52637","7"
"93905",10727.9609375,33.7611503601074,"53157","53156","52638","7"
"93906",10964.916015625,45.3539581298828,"53157","52638","52639","7"
"93907",9055.673828125,49.9082527160645,"53157","52639","53158","7"
"93908",9377.5908203125,63.397274017334,"52640","53158","52639","7"
"93909",5529.484375,61.2676200866699,"53159","53158","52640","7"
"93910",5829.0703125,63.6554145812988,"53159","52640","52641","7"
"93911",5422.6669921875,55.0497550964355,"53159","52641","53160","7"
"93912",9659.0654296875,53.0444183349609,"52641","53161","53160","7"
"93913",10190.7983398438,63.5232048034668,"52642","53161","52641","7"
"93914",12917.3193359375,62.8481140136719,"52642","53162","53161","7"
"93915",16931.3579101563,79.1094207763672,"52642","52643","53162","7"
"93916",19664.658203125,84.2376022338867,"52644","53162","52643","7"
